23094	"HDFRE"	"his"	"illness"	2	4	3094	"In <b>his</b> last <b>illness</b> , he convened the principal officers of the state and army , and in their presence recommended Aurelian , one of his generals , as the most deserving of the throne , and the best qualified to execute the great design which he himself had been permitted only to undertake . "	
							
757	"PTB_WSJ"	"Fair"	"archness"	15	18	22248		
756	"PTB_WSJ"	"his"	"aggressiveness"	36	38	15666		
23637	"HDFRE"	"his"	"baldness"	12	13	3637	"Carus , taking off a cap which he wore to conceal <b>his</b> <b>baldness</b> , assured the ambassadors , that , unless their master acknowledged the superiority of Rome , he would speedily render Persia as naked of trees as his own head was destitute of hair . "	
22004	"HDFRE"	"his"	"baseness"	32	33	2004	"For this crime many were put to death ; and by the execution of several of his benefactors , Maximin published , in characters of blood , the indelible history of <b>his</b> <b>baseness</b> and ingratitude . "	
20869	"HDFRE"	"their"	"baseness"	4	5	869	"The tyrant beheld <b>their</b> <b>baseness</b> with just contempt , and encountered their secret sentiments of detestation with sincere and avowed hatred for the whole body of the senate . "	
759	"PTB_WSJ"	"their"	"bullishness"	9	11	35280		
22223	"HDFRE"	"his"	"boldness"	2	3	2223	"But <b>his</b> <b>boldness</b> prompted him to aspire to the throne , and his abilities were employed to supplant , not to serve , his indulgent master . "	
1030	"JB"	"thy"	"carelessness"	2	4	279	"By <b>thy</b> very <b>carelessness</b> they know that thou art a man . "	
1031	"JB"	"your"	"carelessness"	4	5	2403	"It is only <b>your</b> <b>carelessness</b> in driving . "	
760	"PTB_WSJ"	"its"	"cautiousness"	5	6	1206		
762	"PTB_WSJ"	"country"	"competitiveness"	33	35	35670		
763	"PTB_WSJ"	"its"	"comprehensiveness"	23	24	10597		
764	"PTB_WSJ"	"their"	"consciousness"	23	24	4047		
765	"PTB_WSJ"	"their"	"credit-worthiness"	29	30	19557		
766	"PTB_WSJ"	"its"	"distinctiveness"	5	6	30346		
767	"PTB_WSJ"	"Coke"	"eagerness"	5	7	626		
768	"PTB_WSJ"	"Congress"	"eagerness"	17	19	29505		
769	"PTB_WSJ"	"his"	"eagerness"	5	6	36366		
770	"PTB_WSJ"	"code"	"effectiveness"	7	9	18226		
771	"PTB_WSJ"	"its"	"effectiveness"	34	35	8227		
21958	"HDFRE"	"his"	"fierceness"	14	16	1958	"He displayed on every occasion a valor equal to his strength ; and <b>his</b> native <b>fierceness</b> was soon tempered or disguised by the knowledge of the world . "	
772	"PTB_WSJ"	"market"	"firmness"	22	24	30534		
20565	"HDFRE"	"whose"	"firmness"	11	12	565	"Such was the solid construction of the Roman highways , <b>whose</b> <b>firmness</b> has not entirely yielded to the effort of fifteen centuries . "	
22144	"HDFRE"	"whose"	"firmness"	22	23	2144	"Some troops newly levied among the generous but enervated youth of Italy ; and a body of German auxiliaries , on <b>whose</b> <b>firmness</b> , in the hour of trial , it was dangerous to depend . "	
773	"PTB_WSJ"	"Florio"	"forcefulness"	2	4	27901		
21368	"HDFRE"	"his"	"greatness"	21	23	1368	"Their numbers , their wealth , their order , and their security , are the best and only foundations of <b>his</b> real <b>greatness</b> ; and were he totally devoid of virtue , prudence might supply its place , and would dictate the same rule of conduct . "	
22652	"HDFRE"	"his"	"greatness"	38	40	2652	"* That extreme country of the North was not unknown to the conquerors of Italy : the ties of ancient consanguinity had been strengthened by recent offices of friendship ; and a Scandinavian king had cheerfully abdicated <b>his</b> savage <b>greatness</b> , that he might pass the remainder of his days in the peaceful and polished court of Ravenna . "	
774	"PTB_WSJ"	"its"	"greatness"	14	16	39186		
20344	"HDFRE"	"their"	"greatness"	11	12	344	"The navy maintained by the emperors might seem inadequate to <b>their</b> <b>greatness</b> ; but it was fully sufficient for every useful purpose of government . "	
20500	"HDFRE"	"Their"	"greatness"	1	2	500	"<b>Their</b> <b>greatness</b> alone , or their beauty , might deserve our attention : but they are rendered more interesting , by two important circumstances , which connect the agreeable history of the arts with the more useful history of human manners . "	
22730	"HDFRE"	"their"	"greatness"	14	15	2730	"After the wealth of nations had centred in Rome , the emperors displayed <b>their</b> <b>greatness</b> , and even their policy , by the regular exercise of a steady and moderate liberality towards the allies of the state . "	
20479	"HDFRE"	"his"	"happiness"	15	16	479	"The existence of a slave became an object of greater value , and though <b>his</b> <b>happiness</b> still depended on the temper and circumstances of the master , the humanity of the latter , instead of being restrained by fear , was encouraged by the sense of his own interest . "	
24828	"HDFRE"	"his"	"happiness"	20	21	4828	"Every privilege that could raise the proselyte from earth to heaven , that could exalt his devotion , secure <b>his</b> <b>happiness</b> , or even gratify that secret pride which , under the semblance of devotion , insinuates itself into the human heart , was still reserved for the members of the Christian church ; but at the same time all mankind was permitted , and even solicited , to accept the glorious distinction , which was not only proffered as a favor , but imposed as an obligation "	
24896	"HDFRE"	"other"	"happiness"	45	47	4896	"The Christians , who with pious horror avoided the abomination of the circus or the theatre , found himself encompassed with infernal snares in every convivial entertainment , as often as his friends , invoking the hospitable deities , poured out libations to each <b>other</b> 's <b>happiness</b> . "	
775	"PTB_WSJ"	"their"	"happiness"	19	21	29255		
24212	"HDFRE"	"their"	"happiness"	18	20	4212	"The provincials of Gaul , Spain , and Britain , sensible of his worth , and of <b>their</b> own <b>happiness</b> , reflected with anxiety on the declining health of the emperor Constantius , and the tender age of his numerous family , the issue of his second marriage with the daughter of Maximian . "	
20068	"HDFRE"	"their"	"indistinctness"	31	32	68	"The quotations of Gibbon have likewise been called in question ; -- I have , in general , been more inclined to admire their exactitude , than to complain of <b>their</b> <b>indistinctness</b> , or incompleteness . "	
21802	"HDFRE"	"their"	"laziness"	30	32	1802	"Ample magazines were formed along the public roads , and as soon as they entered the enemy 's country , a numerous train of mules and camels waited on <b>their</b> haughty <b>laziness</b> . "	
20120	"HDFRE"	"their"	"nakedness"	38	40	120	"He might have thrown aside , with the same scorn , the mass of ecclesiastical fiction which envelops the early history of the church , stripped off the legendary romance , and brought out the facts in <b>their</b> primitive <b>nakedness</b> and simplicity -- if he had but allowed those facts the benefit of the glowing eloquence which he denied to them alone . "	
777	"PTB_WSJ"	"its"	"nervousness"	10	11	31618		
20546	"HDFRE"	"whose"	"populousness"	14	15	546	"The solitudes of Asia and Africa were once covered with flourishing cities , <b>whose</b> <b>populousness</b> , and even whose existence , was derived from such artificial supplies of a perennial stream of fresh water . "	
23497	"HDFRE"	"his"	"rashness"	6	7	3497	"The prudent soldiers have punished <b>his</b> <b>rashness</b> . "	
20435	"HDFRE"	"their"	"rashness"	11	12	435	"The Samnites and the Lucanians paid the severe penalty of <b>their</b> <b>rashness</b> ; but the rest of the Italian states , as they successively returned to their duty , were admitted into the bosom of the republic , and soon contributed to the ruin of public freedom . "	
23607	"HDFRE"	"their"	"rashness"	4	6	3607	"They then lamented <b>their</b> fatal <b>rashness</b> , forgot the severity of the emperor , whom they had massacred , and hastened to perpetuate , by an honorable monument , the memory of his virtues and victories . "	
780	"PTB_WSJ"	"leader"	"readiness"	4	6	4347		
781	"PTB_WSJ"	"their"	"readiness"	2	4	31969		
24301	"HDFRE"	"their"	"readiness"	49	50	4301	"The rising fury of the people was encouraged by the authority , or at least the connivance , of the senate ; and the feeble remains of the Pr??torian guards , who had reason to apprehend their own dissolution , embraced so honorable a pretence , and declared <b>their</b> <b>readiness</b> to draw their swords in the service of their oppressed country . "	
20000	"HDFRE"	"its"	"stateliness"	37	39	0	"The inherent interest of the subject , the inexhaustible labor employed upon it ; the immense condensation of matter ; the luminous arrangement ; the general accuracy ; the style , which , however monotonous from <b>its</b> uniform <b>stateliness</b> , and sometimes wearisome from its elaborate art "	
20488	"HDFRE"	"their"	"strictness"	5	7	488	"Without interpreting , in <b>their</b> utmost <b>strictness</b> , the liberal appellations of legions and myriads , we may venture to pronounce , that the proportion of slaves , who were valued as property , was more considerable than that of servants , who can be computed only as an expense . "	
21600	"HDFRE"	"his"	"tameness"	26	28	1600	"The choice of his ministers was in many instances justly censured , and the dissatisfied people , with their usual candor , accused at once <b>his</b> indolent <b>tameness</b> and his excessive severity . "	
24160	"HDFRE"	"His"	"tenderness"	1	2	4160	"<b>His</b> <b>tenderness</b> , or at least his pride , was deeply wounded by the misfortunes of his wife and daughter ; and the last moments of Diocletian were imbittered by some affronts , which Licinius and Constantine might have spared the father of so many emperors , and the first author of their own fortune . "	
784	"PTB_WSJ"	"company"	"Texasness"	13	16	30362		
785	"PTB_WSJ"	"conservatives"	"unhappiness"	4	6	37403		
786	"PTB_WSJ"	"major"	"unwillingness"	9	11	20946		
24937	"HDFRE"	"its"	"usefulness"	26	27	4937	"In the primitive church , the influence of truth was very powerfully strengthened by an opinion , which , however it may deserve respect for <b>its</b> <b>usefulness</b> and antiquity , has not been found agreeable to experience . "	
787	"PTB_WSJ"	"whose"	"usefulness"	16	17	24149		
788	"PTB_WSJ"	"dollar"	"weakness"	4	7	16391		
789	"PTB_WSJ"	"dollar"	"weakness"	21	23	32267		
24781	"HDFRE"	"his"	"weakness"	51	52	4781	"According to the rules of tyranny , he was accused of forming a conspiracy , and of holding a treasonable correspondence with the barbarians ; but as he was never convicted , either by his own conduct or by any legal evidence , we may perhaps be allowed , from <b>his</b> <b>weakness</b> , to presume his innocence . "	
790	"PTB_WSJ"	"market"	"weakness"	23	26	6121		
1032	"JB"	"my"	"weakness"	14	15	364	"Ye know how ye brought me up to an untried buck to make <b>my</b> <b>weakness</b> known . "	
791	"PTB_WSJ"	"sterling"	"weakness"	13	16	25547		
22994	"HDFRE"	"their"	"weakness"	21	22	2994	"Succeeding princes , unable to reduce them to obedience , either by arms or policy , were compelled to acknowledge <b>their</b> <b>weakness</b> , by surrounding the hostile and independent spot with a strong chain of fortifications , which often proved insufficient to restrain the incursions of these domestic foes . "	
792	"PTB_WSJ"	"yen"	"weakness"	3	5	16399		
3093	"PTB_WSJ"	"Poland"	"willingess"	17	19	33965		
793	"PTB_WSJ"	"company"	"willingness"	14	16	7390		
794	"PTB_WSJ"	"its"	"willingness"	7	8	7709		
795	"PTB_WSJ"	"its"	"willingness"	11	12	10408		
796	"PTB_WSJ"	"its"	"willingness"	20	21	37218		
797	"PTB_WSJ"	"Lawson"	"willingness"	30	32	9638		
798	"PTB_WSJ"	"their"	"willingness"	9	10	25176		
799	"PTB_WSJ"	"Warner"	"willingness"	13	15	7245		
2389	"PTB_WSJ"	"California"	"cautiousness"	13	15	19994		
1028	"JB"	"thy"	"softness"	9	11	524	"`` His face is all bruised today by <b>thy</b> -- <b>softness</b> . "	
783	"PTB_WSJ"	"yen"	"softness"	2	4	9650		
23755	"HDFRE"	"its"	"mildness"	8	10	3755	"The victory of Diocletian was remarkable for <b>its</b> singular <b>mildness</b> . "	
782	"PTB_WSJ"	"its"	"sharpness"	28	29	35878		
776	"PTB_WSJ"	"market"	"jumpiness"	7	9	37524		
761	"PTB_WSJ"	"seed"	"colorlessness"	4	6	5900		

