20244	"HDFRE"	"Its"	"boundaries"	1	3	244	"<b>Its</b> natural <b>boundaries</b> were the Niester , the Teyss or Tibiscus , the Lower Danube , and the Euxine Sea . "	
3669	"PTB_WSJ"	"Kong"	"border"	7	9	24742		
3670	"PTB_WSJ"	"its"	"borders"	34	35	12207		
3671	"PTB_WSJ"	"its"	"borders"	19	21	16369		
3672	"PTB_WSJ"	"its"	"borders"	20	21	17178		
3673	"PTB_WSJ"	"their"	"borders"	35	36	20605		
3674	"PTB_WSJ"	"Alaska"	"coast"	13	16	8278		
3675	"PTB_WSJ"	"city"	"coast"	18	20	7200		
3676	"PTB_WSJ"	"its"	"coastline"	21	23	32116		
3677	"PTB_WSJ"	"earthquake"	"epicenter"	12	14	33649		
3678	"PTB_WSJ"	"its"	"epicenter"	22	23	4199		
3679	"PTB_WSJ"	"quake"	"epicenter"	11	13	30220		
3680	"PTB_WSJ"	"quake"	"epicenter"	13	15	33640		
3681	"PTB_WSJ"	"city"	"boundary"	11	14	30240		

